provincia,ciudad,sector,tipo_propiedad,habitaciones,banos,parqueos,m2_construccion,precio_usd
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Apartamento,1,4,2,69,92322.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,3,3,1,259,519295.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,3,2,2,57,76494.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Villa,4,3,3,308,393932.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,1,1,1,248,518568.00
Puerto Plata,Puerto Plata,Sosúa,Casa,3,6,4,240,434400.00
Santo Domingo,Santo Domingo Este,Coral Mall,Casa,5,2,2,306,637092.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Casa,5,2,2,329,466522.00
Samaná,Las Terrenas,Cosón,Apartamento,2,1,1,259,292152.00
La Romana,La Romana,Casa de Campo,Apartamento,3,2,1,235,474230.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Apartamento,2,4,1,96,175296.00
Puerto Plata,Puerto Plata,Torre Alta,Casa,4,5,2,501,552603.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,4,3,2,192,227136.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,4,3,2,203,352814.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,3,4,1,67,138958.00
La Altagracia,Punta Cana,Cap Cana,Casa,6,2,3,628,1868928.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Casa,6,6,2,352,345664.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,4,1,1,158,519662.00
Santiago,Santiago de los Caballeros,Los Colegios,Apartamento,4,3,2,220,424160.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,6,2,2,436,807472.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,2,1,1,238,287504.00
Santo Domingo,Santo Domingo Este,San Isidro,Apartamento,2,4,2,89,153080.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Casa,3,6,3,657,829791.00
Santiago,Santiago de los Caballeros,Villa Olga,Apartamento,3,3,1,245,285180.00
Puerto Plata,Puerto Plata,Sosúa,Apartamento,3,4,2,167,195891.00
Distrito Nacional,Santo Domingo,Bella Vista,Apartamento,3,2,2,160,220000.00
Santiago,Santiago de los Caballeros,La Barranquita,Apartamento,1,4,2,171,242820.00
La Romana,La Romana,Casa de Campo,Apartamento,4,4,2,246,641322.00
La Altagracia,Punta Cana,Bávaro,Casa,3,3,3,537,1098165.00
Distrito Nacional,Santo Domingo,La Julia,Apartamento,4,3,2,155,281945.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Casa,5,6,2,247,364078.00
Santo Domingo,Santo Domingo Este,Coral Mall,Casa,5,2,3,612,1231956.00
La Romana,La Romana,Buena Vista,Casa,6,6,2,504,817992.00
Samaná,Las Terrenas,Cosón,Apartamento,1,4,1,226,343746.00
La Altagracia,Punta Cana,El Cortecito,Apartamento,3,2,2,143,284856.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Apartamento,1,2,2,117,140049.00
Santiago,Santiago de los Caballeros,La Barranquita,Villa,3,6,2,524,738316.00
Santo Domingo,Santo Domingo Este,Las Américas,Villa,6,5,2,535,538745.00
Santiago,Santiago de los Caballeros,Los Colegios,Apartamento,3,2,2,152,245328.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,2,1,1,197,418034.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Casa,6,6,4,241,462479.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,2,2,2,161,312340.00
La Altagracia,Punta Cana,Bávaro,Apartamento,4,,2,215,307020.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,1,2,1,57,91314.00
Santiago,Santiago de los Caballeros,Villa Olga,Apartamento,4,4,1,101,144026.00
Santiago,Santiago de los Caballeros,Cerro Alto,Casa,5,6,2,223,411435.00
Distrito Nacional,Santo Domingo,Piantini,Villa,3,4,4,485,736715.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,1,4,1,110,146190.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,1,3,2,73,115851.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,3,3,2,256,405248.00
Puerto Plata,Puerto Plata,Cabarete,Casa,4,3,3,630,1062180.00
Santiago,Santiago de los Caballeros,Gurabo,Apartamento,3,1,2,189,371763.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,5,3,3,666,1067598.00
Santiago,Santiago de los Caballeros,Gurabo,Apartamento,1,1,1,114,215118.00
Santiago,Santiago de los Caballeros,Villa María,Penthouse,5,3,4,341,820446.00
Puerto Plata,Puerto Plata,Sosúa,Penthouse,4,4,3,266,527212.00
Santiago,Santiago de los Caballeros,La Trinitaria,Villa,4,5,4,504,1693944.00
Puerto Plata,Puerto Plata,Sosúa,Casa,3,5,3,602,921662.00
Puerto Plata,Puerto Plata,Sosúa,Villa,5,6,2,540,923940.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Villa,5,5,4,208,198848.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,2,1,2,101,174225.00
La Altagracia,Punta Cana,Cocotal,Casa,4,3,4,313,646658.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,2,3,1,225,398250.00
Santiago,Santiago de los Caballeros,La Trinitaria,Casa,5,3,3,566,1769882.00
Santo Domingo,Santo Domingo Oeste,Herrera,Penthouse,5,5,4,540,1062720.00
Santo Domingo,Santo Domingo Este,San Isidro,Casa,4,2,3,619,1286901.00
Santiago,Santiago de los Caballeros,Cerro Alto,Casa,5,3,4,300,263400.00
La Romana,La Romana,Buena Vista,Apartamento,4,4,1,107,162212.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Casa,6,5,2,621,790533.00
Samaná,Las Terrenas,Playa Bonita,Townhouse,3,2,2,96,185856.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,5,3,4,641,870478.00
La Altagracia,Punta Cana,Cocotal,Apartamento,4,1,1,170,233240.00
La Altagracia,Punta Cana,White Sands,Apartamento,2,4,2,238,386512.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Apartamento,1,3,1,170,310250.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Townhouse,1,1,2,179,336520.00
Santiago,Santiago de los Caballeros,La Barranquita,Apartamento,2,1,1,116,167852.00
La Romana,La Romana,Buena Vista,Penthouse,4,3,2,382,987852.00
Puerto Plata,Puerto Plata,Cabarete,Casa,5,2,2,691,984675.00
La Altagracia,Punta Cana,El Cortecito,Casa,5,6,3,709,1057119.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,4,2,2,63,93618.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,3,5,3,347,796365.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,6,2,3,545,1088910.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,2,1,2,73,110741.00
Santiago,Santiago de los Caballeros,Cerro Alto,Villa,5,6,4,397,811865.00
Distrito Nacional,Santo Domingo,Sarasota,Apartamento,2,4,1,113,239560.00
Santo Domingo,Santo Domingo Este,Coral Mall,Casa,3,5,3,288,435456.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,6,5,4,455,940030.00
Distrito Nacional,Santo Domingo,La Julia,Townhouse,4,3,1,104,124696.00
Santiago,Santiago de los Caballeros,Villa María,Apartamento,1,4,1,152,246544.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Townhouse,4,1,1,103,147599.00
Puerto Plata,Puerto Plata,Torre Alta,Casa,4,2,3,682,1183270.00
Santiago,Santiago de los Caballeros,Cerro Alto,Apartamento,1,3,1,175,352100.00
Puerto Plata,Puerto Plata,Torre Alta,Casa,6,2,3,557,1173599.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,1,1,2,168,261912.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,1,3,2,161,203182.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,4,4,2,715,1233375.00
Santiago,Santiago de los Caballeros,Gurabo,Apartamento,1,1,2,155,200415.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,3,3,2,199,252133.00
La Romana,La Romana,Casa de Campo,Casa,6,3,2,582,849720.00
Santo Domingo,Santo Domingo Este,San Isidro,Villa,5,4,4,645,1433190.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Villa,5,3,2,369,372690.00
Samaná,Las Terrenas,Cosón,Villa,3,5,4,198,170478.00
Puerto Plata,Puerto Plata,Sosúa,Casa,6,5,4,594,1305018.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,3,4,2,72,97632.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,3,3,2,394,722990.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Apartamento,2,1,2,247,506103.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,1,2,1,239,480629.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,6,6,2,386,560858.00
Samaná,Las Terrenas,Cosón,Casa,3,2,4,622,1058022.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,3,1,2,152,318440.00
La Romana,La Romana,Central Romana,Apartamento,4,2,1,185,210530.00
Puerto Plata,Puerto Plata,Playa Dorada,Apartamento,1,3,2,171,228969.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Penthouse,4,4,4,443,683106.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Apartamento,4,3,2,109,233151.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Penthouse,5,5,3,287,602700.00
Puerto Plata,Puerto Plata,Torre Alta,Villa,5,5,2,392,559776.00
Santo Domingo,Santo Domingo Este,Lucerna,Apartamento,2,2,1,205,431935.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Apartamento,4,3,1,103,123188.00
Distrito Nacional,Santo Domingo,La Julia,Villa,5,3,2,695,635925.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,2,1,1,174,283272.00
La Altagracia,Punta Cana,Punta Cana Village,Apartamento,3,2,1,230,276690.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Townhouse,1,1,1,260,308100.00
La Romana,La Romana,Casa de Campo,Casa,3,3,3,340,762960.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,1,2,2,135,186570.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Casa,6,2,2,665,1030085.00
Santiago,Santiago de los Caballeros,Cerro Alto,Casa,5,5,3,431,499960.00
La Romana,La Romana,Buena Vista,Apartamento,2,4,2,154,314006.00
La Romana,La Romana,Central Romana,Apartamento,1,4,1,247,276640.00
La Romana,La Romana,Casa de Campo,Casa,5,5,2,624,942864.00
Puerto Plata,Puerto Plata,Sosúa,Apartamento,2,1,2,157,301911.00
La Romana,La Romana,Buena Vista,Apartamento,3,3,1,121,169400.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,4,3,2,248,372992.00
Santiago,Santiago de los Caballeros,El Dorado II,Casa,5,5,4,309,591735.00
La Romana,La Romana,Buena Vista,Casa,5,6,3,343,307671.00
Distrito Nacional,Santo Domingo,Sarasota,Apartamento,2,3,2,179,237354.00
Distrito Nacional,Santo Domingo,La Julia,Casa,5,2,2,307,543083.00
Santiago,Santiago de los Caballeros,Gurabo,Apartamento,2,2,2,126,211932.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Casa,6,6,4,433,461145.00
La Altagracia,Punta Cana,Cocotal,Apartamento,3,4,1,87,171477.00
Puerto Plata,Puerto Plata,Sosúa,Casa,6,3,3,399,703437.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,4,4,2,199,422079.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,4,4,1,86,183610.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,2,1,1,166,343454.00
Distrito Nacional,Santo Domingo,Bella Vista,Penthouse,4,3,4,429,740025.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,1,2,1,145,249980.00
La Altagracia,Punta Cana,Punta Cana Village,Casa,3,3,2,611,579839.00
Santiago,Santiago de los Caballeros,Los Colegios,Casa,6,2,2,740,1157360.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Casa,6,6,3,643,990863.00
Puerto Plata,Puerto Plata,Torre Alta,Villa,4,3,4,651,1152921.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Villa,5,2,4,599,984157.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Apartamento,1,4,2,215,275415.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,3,1,1,99,119592.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Casa,6,6,2,,665994.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,4,3,4,634,648582.00
La Romana,La Romana,Central Romana,Apartamento,1,4,1,137,273315.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Casa,5,5,3,273,295932.00
Santo Domingo,Santo Domingo Este,Las Américas,Casa,4,3,3,271,315715.00
Santiago,Santiago de los Caballeros,La Barranquita,Apartamento,1,3,1,56,68264.00
Santiago,Santiago de los Caballeros,La Barranquita,Casa,4,5,3,444,718836.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Casa,4,5,4,696,1140048.00
Santo Domingo,Santo Domingo Este,Coral Mall,Casa,6,6,3,247,454727.00
Distrito Nacional,Santo Domingo,Renacimiento,Apartamento,1,3,1,113,153341.00
Santiago,Santiago de los Caballeros,La Barranquita,Apartamento,2,2,2,188,271472.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Townhouse,4,1,1,258,529158.00
Samaná,Las Terrenas,Cosón,Apartamento,2,1,1,173,287007.00
Samaná,Las Terrenas,Cosón,Villa,6,4,4,397,813056.00
La Romana,La Romana,Buena Vista,Casa,3,4,2,584,1331520.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Casa,5,5,2,696,1044696.00
La Altagracia,Punta Cana,White Sands,Casa,6,4,2,509,788441.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Townhouse,3,1,1,215,237360.00
Samaná,Las Terrenas,Cosón,Casa,3,3,3,749,1704724.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,1,1,2,222,300144.00
La Altagracia,Punta Cana,El Cortecito,Villa,5,5,2,188,207740.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Penthouse,4,3,2,230,477250.00
La Altagracia,Punta Cana,Cap Cana,Casa,5,3,2,685,1691265.00
Distrito Nacional,Santo Domingo,Gazcue,Apartamento,2,1,1,260,496860.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Casa,6,3,4,378,831978.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,2,1,1,240,295920.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Penthouse,3,5,4,360,681120.00
Distrito Nacional,Santo Domingo,Sarasota,Apartamento,4,1,2,214,258084.00
La Altagracia,Punta Cana,El Cortecito,Villa,6,4,2,710,1281550.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,1,2,1,121,237160.00
La Romana,La Romana,Buena Vista,Apartamento,4,2,2,70,80570.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Townhouse,2,2,1,134,232624.00
Santo Domingo,Santo Domingo Este,Lucerna,Apartamento,1,4,2,256,294144.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Penthouse,4,3,2,462,918456.00
La Altagracia,Punta Cana,Bávaro,Villa,4,2,4,629,657305.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,3,2,3,500,1135000.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Casa,6,2,3,622,612048.00
Santo Domingo,Santo Domingo Este,Lucerna,Casa,3,4,3,591,618186.00
Samaná,Las Terrenas,Cosón,Casa,3,5,3,655,1130530.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Casa,3,5,4,516,1059348.00
Santo Domingo,Santo Domingo Oeste,Herrera,Casa,3,6,2,309,665895.00
La Romana,La Romana,Buena Vista,Apartamento,4,4,1,112,154672.00
Distrito Nacional,Santo Domingo,Piantini,Casa,6,6,4,546,1257984.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,2,4,2,204,367608.00
Santiago,Santiago de los Caballeros,Villa María,Townhouse,2,1,1,179,216769.00
Puerto Plata,Puerto Plata,Costámbar,Casa,4,3,2,529,654373.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,4,3,2,207,354591.00
Puerto Plata,Puerto Plata,Costámbar,Casa,6,2,3,404,346228.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Apartamento,2,2,2,238,423164.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,1,3,1,68,124576.00
Distrito Nacional,Santo Domingo,Sarasota,Casa,5,5,2,548,514572.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Casa,4,3,3,358,553110.00
La Romana,La Romana,Casa de Campo,Casa,3,3,3,283,391106.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,1,3,1,128,260352.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Villa,4,6,4,624,613392.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Villa,4,3,2,725,1177400.00
La Altagracia,Punta Cana,Punta Cana Village,Apartamento,2,1,1,187,318274.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Casa,5,3,4,680,869040.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Apartamento,1,2,2,242,518364.00
La Altagracia,Punta Cana,El Cortecito,Apartamento,2,3,2,184,384376.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,6,6,4,217,276458.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Apartamento,2,4,1,128,252160.00
Puerto Plata,Puerto Plata,Playa Dorada,Casa,5,4,4,266,299250.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,3,2,1,169,363181.00
Samaná,Las Terrenas,Cosón,Apartamento,4,4,2,144,304992.00
La Altagracia,Punta Cana,Punta Cana Village,Apartamento,2,4,1,117,146835.00
La Altagracia,Punta Cana,Bávaro,Casa,3,4,2,280,305760.00
Santo Domingo,Santo Domingo Este,Coral Mall,Casa,4,4,2,517,704154.00
Santiago,Santiago de los Caballeros,Los Colegios,Casa,4,6,3,188,275044.00
Santiago,Santiago de los Caballeros,Villa María,Apartamento,4,4,1,170,365330.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Casa,4,5,2,708,1452816.00
La Romana,La Romana,Buena Vista,Apartamento,4,3,1,130,192920.00
Puerto Plata,Puerto Plata,Torre Alta,Casa,6,6,2,563,638442.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,1,4,2,136,212296.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,4,3,2,200,229400.00
Samaná,Las Terrenas,Playa Bonita,Penthouse,3,4,4,542,1481828.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Villa,6,3,3,245,476280.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,3,4,2,73,105923.00
Santo Domingo,Santo Domingo Este,Lucerna,Apartamento,1,4,1,97,146179.00
Santo Domingo,Santo Domingo Este,San Isidro,Casa,4,4,4,716,710988.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,1,2,2,155,294500.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,6,5,4,250,411500.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Villa,5,5,4,666,782550.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Penthouse,5,3,4,454,937056.00
Santo Domingo,Santo Domingo Oeste,Herrera,Townhouse,4,1,2,204,327420.00
La Romana,La Romana,Buena Vista,Penthouse,4,4,3,514,812120.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,4,3,2,150,218700.00
Puerto Plata,Puerto Plata,Cabarete,Casa,6,5,3,367,836760.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,1,2,1,120,203640.00
Santo Domingo,Santo Domingo Este,Lucerna,Apartamento,2,4,2,245,330260.00
La Altagracia,Punta Cana,Bávaro,Apartamento,3,4,2,92,148764.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,1,4,2,137,262629.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Casa,5,2,4,319,484561.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,1,2,2,85,175440.00
Santiago,Santiago de los Caballeros,Cerro Alto,Casa,3,6,2,361,524172.00
Santo Domingo,Santo Domingo Este,Las Américas,Apartamento,2,1,1,223,369957.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,2,1,1,163,195111.00
La Romana,La Romana,Central Romana,Apartamento,1,4,2,163,196741.00
Samaná,Las Terrenas,Playa Bonita,Casa,6,3,2,563,753294.00
Santo Domingo,Santo Domingo Oeste,Herrera,Casa,3,2,3,376,842992.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Townhouse,1,2,1,61,119011.00
La Romana,La Romana,Casa de Campo,Villa,5,6,4,374,1233826.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Penthouse,3,3,2,274,611020.00
La Altagracia,Punta Cana,Cap Cana,Casa,5,2,3,397,1100484.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,3,3,1,67,103649.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,4,1,1,114,147516.00
Samaná,Las Terrenas,Cosón,Townhouse,4,2,2,94,164594.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,4,4,1,178,200606.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,1,3,1,238,470526.00
Santo Domingo,Santo Domingo Oeste,Herrera,Casa,5,5,3,386,447760.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,2,4,2,84,140196.00
La Altagracia,Punta Cana,White Sands,Apartamento,1,4,2,242,277816.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,2,1,1,255,396525.00
Samaná,Las Terrenas,Cosón,Apartamento,2,4,1,66,138996.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Casa,4,3,2,273,328965.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Villa,4,3,4,260,447720.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,4,3,3,360,752400.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Casa,6,3,3,672,680736.00
La Altagracia,Punta Cana,El Cortecito,Apartamento,4,4,2,179,355673.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Casa,6,5,2,487,1007116.00
La Romana,La Romana,Casa de Campo,Apartamento,2,3,2,168,449400.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,,1,2,84,173124.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Casa,5,5,3,605,1003090.00
La Altagracia,Punta Cana,El Cortecito,Apartamento,1,4,1,81,152928.00
Samaná,Las Terrenas,Playa Bonita,Casa,6,4,4,536,1014648.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,1,4,2,238,381990.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Casa,5,2,4,331,458435.00
Samaná,Las Terrenas,Cosón,Penthouse,3,4,2,528,1417152.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,3,5,3,262,500682.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Casa,6,4,4,489,916875.00
La Romana,La Romana,Central Romana,Villa,5,5,4,271,290783.00
Samaná,Las Terrenas,Cosón,Villa,5,3,4,587,1338947.00
Santiago,Santiago de los Caballeros,Gurabo,Townhouse,4,1,1,67,130985.00
La Romana,La Romana,Buena Vista,Apartamento,4,2,1,145,214745.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Apartamento,1,4,1,97,146567.00
Distrito Nacional,Santo Domingo,Bella Vista,Villa,4,4,3,631,1345923.00
Samaná,Las Terrenas,Playa Bonita,Villa,4,2,3,267,433341.00
Santo Domingo,Santo Domingo Este,Coral Mall,Casa,3,6,2,669,1232967.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Casa,3,6,2,279,357678.00
La Romana,La Romana,Casa de Campo,Apartamento,3,4,2,243,674082.00
Samaná,Las Terrenas,Cosón,Apartamento,3,3,1,142,272072.00
Puerto Plata,Puerto Plata,Playa Dorada,Casa,5,4,2,183,326655.00
Puerto Plata,Puerto Plata,Cabarete,Casa,3,6,3,434,696136.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,4,4,1,50,87950.00
Distrito Nacional,Santo Domingo,La Julia,Villa,5,5,2,676,1128244.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,4,1,2,125,187375.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,3,4,4,741,1338246.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Townhouse,4,2,1,104,150696.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Apartamento,1,2,2,148,247752.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,1,2,2,73,130013.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,4,4,2,256,403712.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Casa,3,2,2,528,1088736.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,2,3,2,197,217291.00
Santiago,Santiago de los Caballeros,Gurabo,Apartamento,2,4,2,131,241957.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Casa,3,6,3,503,576438.00
Santiago,Santiago de los Caballeros,La Trinitaria,Apartamento,4,2,2,87,157731.00
Samaná,Las Terrenas,Cosón,Apartamento,1,3,2,211,325151.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,4,1,2,89,136259.00
Santo Domingo,Santo Domingo Oeste,Herrera,Penthouse,3,4,4,420,887040.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,3,4,2,139,264239.00
Puerto Plata,Puerto Plata,Sosúa,Apartamento,3,3,1,229,436474.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Apartamento,1,3,2,217,311395.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,4,3,1,103,159238.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,1,2,2,159,229596.00
Distrito Nacional,Santo Domingo,Naco,Apartamento,4,2,1,80,222320.00
Samaná,Las Terrenas,Cosón,Townhouse,4,2,1,80,127440.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,2,4,1,249,510201.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,4,3,1,80,107040.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Apartamento,2,1,2,120,155160.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,4,3,1,75,132450.00
Santo Domingo,Santo Domingo Este,Lucerna,Penthouse,5,3,3,230,530380.00
La Romana,La Romana,Central Romana,Apartamento,4,1,1,242,368808.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Villa,4,2,4,637,951041.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Casa,4,3,2,442,407082.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Apartamento,3,2,2,218,239800.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Casa,5,6,3,323,656013.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,3,2,1,219,260829.00
Santo Domingo,Santo Domingo Oeste,Herrera,Casa,5,3,2,745,962540.00
